subj_idx,valence,Match,shape,rt
v010001,bad,match,circular,797.000000000466
v010001,bad,match,circular,641.400000000431
v010001,good,mismatch,square,812.799999999697
v010001,good,match,square,747.000000001222
v010001,ordinary,match,triangle,433.300000000629
v010001,good,match,square,781.19999999943
v010001,bad,mismatch,circular,748.70000000007
v010001,good,match,square,809.499999999418
v010001,bad,match,circular,662.999999998603
v010001,good,match,square,829.200000000128
v010001,ordinary,mismatch,triangle,744.800000000396
v010001,bad,match,circular,616.500000000116
v010001,ordinary,match,triangle,690.099999999802
v010001,ordinary,match,triangle,487.900000000081
v010001,bad,mismatch,circular,795.200000000477
v010001,good,mismatch,square,694.500000001397
v010001,good,match,square,674.600000000326
v010001,ordinary,mismatch,triangle,711.399999998335
v010001,ordinary,mismatch,triangle,863.199999999779
v010001,ordinary,match,triangle,827.900000000256
v010001,bad,mismatch,circular,831.899999999208
v010001,bad,mismatch,circular,751.899999999267
v010001,good,mismatch,square,796.399999999267
v010001,ordinary,mismatch,triangle,871.499999999302
v010001,ordinary,match,triangle,782.90000000014
v010001,ordinary,match,triangle,529.699999999139
v010001,bad,mismatch,circular,605.400000000373
v010001,bad,match,circular,848.200000000361
v010001,good,mismatch,square,655.00000000064
v010001,good,match,square,638.800000000629
v010001,good,match,square,517.5
v010001,ordinary,match,triangle,749.200000000186
v010001,good,mismatch,square,769.599999999627
v010001,bad,mismatch,circular,822.79999999993
v010001,bad,match,circular,981.299999999464
v010001,good,mismatch,square,616.099999999278
v010001,good,match,square,823.800000000163
v010001,bad,match,circular,696.900000000838
v010001,ordinary,match,triangle,685.900000000373
v010001,good,match,square,573.200000000768
v010001,bad,match,circular,654.499999998836
v010001,ordinary,mismatch,triangle,809.799999998999
v010001,ordinary,mismatch,triangle,769.899999999325
v010001,ordinary,match,triangle,682.79999999865
v010001,good,match,square,685.800000001094
v010001,good,match,square,786.79999999993
v010001,ordinary,match,triangle,689.29999999993
v010001,good,mismatch,square,732
v010001,good,match,square,595.499999999418
v010001,ordinary,mismatch,triangle,745.800000000512
v010001,ordinary,match,triangle,798.800000000512
v010001,bad,mismatch,circular,766.100000000675
v010001,good,mismatch,square,916.999999999534
v010001,bad,match,circular,809.90000000014
v010001,ordinary,mismatch,triangle,817.200000001234
v010001,good,match,square,584.600000000093
v010001,ordinary,mismatch,triangle,750.400000000838
v010001,ordinary,match,triangle,930.999999998719
v010001,bad,match,circular,802.900000000605
v010001,good,mismatch,square,779.499999998719
v010001,ordinary,match,triangle,622.199999999837
v010001,good,match,square,998.100000000675
v010001,bad,match,circular,786.79999999993
v010001,bad,match,circular,778.300000000047
v010001,good,match,square,808.10000000021
v010001,ordinary,mismatch,triangle,845.200000001583
v010001,ordinary,mismatch,triangle,947.000000000116
v010001,ordinary,match,triangle,733.699999998906
v010001,bad,mismatch,circular,855.199999999953
v010001,good,mismatch,square,831.000000000116
v010001,good,match,square,695.20000000007
v010001,bad,match,circular,655.900000001537
v010001,good,mismatch,square,845.699999999837
v010001,ordinary,match,triangle,769.200000000652
v010001,bad,match,circular,862.700000001583
v010001,good,mismatch,square,691.500000000815
v010001,bad,mismatch,circular,937.999999998254
v010001,good,match,square,706.79999999993
v010001,good,match,square,764.499999999302
v010001,bad,mismatch,circular,891.299999999348
v010001,good,mismatch,square,991.399999998976
v010001,good,match,square,519.699999998906
v010001,ordinary,mismatch,triangle,723.799999999697
v010001,ordinary,match,triangle,746.300000000629
v010001,good,match,square,969.299999998766
v010001,good,mismatch,square,890.40000000014
v010001,bad,match,circular,871.199999999604
v010001,bad,mismatch,circular,860.90000000142
v010001,good,match,square,729.600000000559
v010001,ordinary,mismatch,triangle,846.300000001094
v010001,ordinary,match,triangle,911.599999999395
v010001,good,mismatch,square,749.799999999581
v010001,ordinary,match,triangle,794.5
v010001,ordinary,mismatch,triangle,694.999999999767
v010001,bad,mismatch,circular,988.799999999232
v010001,ordinary,match,triangle,796.999999998719
v010001,ordinary,mismatch,triangle,728.000000000931
v010001,ordinary,mismatch,triangle,834.800000000512
v010001,good,match,square,819.199999999953
v010001,good,mismatch,square,747.400000000256
